Time(s),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s)
0,25.497,16.2974,0.00260524,14326.4,8596.02,0.566553
0.01,25.4971,16.2873,0.00261042,14326.5,8590.03,0.43495
0.02,25.4971,16.2774,0.00253347,14326.6,8584.29,0.562859
0.03,25.4971,16.2673,0.00257135,14326.8,8579.1,0.71422
0.04,25.4971,16.2575,0.00253242,14326.8,8573.38,0.643257
0.05,25.4971,16.2474,0.00257764,14326.8,8567.54,0.454425
0.06,25.4971,16.2374,0.00259972,14326.4,8562.02,0.703187
0.07,25.4971,16.2274,0.00247213,14326.6,8556.34,0.62674
0.08,25.4971,16.2174,0.00253391,14326.7,8551.17,0.461169
0.09,25.4972,16.2074,0.00258545,14326.6,8545.2,0.313339
0.1,25.4972,16.1974,0.00256868,14326.5,8539.67,0.543114
0.11,25.4971,16.1874,0.00265438,14326.8,8534.12,0.436899
0.12,25.497,16.1774,0.00256277,14326.7,8528.31,0.474337
0.13,25.4971,16.1675,0.00258823,14326.6,8522.8,0.370111
0.14,25.4971,16.1574,0.00244132,14326.5,8517.21,0.598726
0.15,25.4971,16.1473,0.00252298,14326.7,8511.29,0.692794
0.16,25.4971,16.1373,0.00256554,14327,8505.9,0.505066
0.17,25.497,16.1273,0.00248166,14326.7,8500.38,0.43872
0.18,25.497,16.1173,0.00254822,14326.9,8494.67,0.451582
0.19,25.4971,16.1074,0.00259657,14326.8,8488.75,0.551027
0.2,25.4971,16.0974,0.00250619,14326.8,8483.74,0.492545
0.21,25.4971,16.0874,0.00262146,14326.6,8477.84,0.38462
0.22,25.497,16.0773,0.00264565,14326.8,8472.28,0.554631
0.23,25.497,16.0674,0.00262323,14326.8,8466.57,0.481128
0.24,25.4971,16.0573,0.00243564,14326.4,8460.99,0.636853
0.25,25.497,16.0473,0.00252335,14326.5,8455.7,0.366067
0.26,25.497,16.0373,0.00248312,14326.6,8449.76,0.369791
